T,x,p,s,X,P,S,t
SPY, 17, 371.89, 1, 17, 371.9, 1, 1608230445386000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230445824000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230444935000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230446176000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230446489000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230446497000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230446489000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230446506000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230446489000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230446507000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230446489000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230446744000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230446489000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230446929000000
SPY, 17, 371.89, 1, 17, 371.9, 2, 1608230447032000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230447033000000
SPY, 2, 371.88, 3, 17, 371.9, 3, 1608230447033000000
SPY, 17, 371.89, 2, 17, 371.9, 3, 1608230447258000000
SPY, 2, 371.88, 3, 17, 371.9, 3, 1608230447258000000
SPY, 17, 371.88, 2, 17, 371.9, 3, 1608230447872000000
SPY, 2, 371.88, 1, 17, 371.9, 3, 1608230448375000000
SPY, 2, 371.88, 2, 17, 371.9, 3, 1608230448376000000
SPY, 17, 371.88, 2, 17, 371.9, 3, 1608230447872000000
SPY, 2, 371.88, 2, 17, 371.9, 3, 1608230448376000000
SPY, 17, 371.88, 2, 17, 371.9, 3, 1608230447872000000
SPY, 2, 371.88, 2, 17, 371.9, 3, 1608230448379000000
SPY, 2, 371.88, 4, 17, 371.9, 3, 1608230448382000000
SPY, 17, 371.88, 2, 17, 371.9, 3, 1608230447872000000
SPY, 2, 371.88, 4, 17, 371.9, 3, 1608230448384000000
SPY, 17, 371.88, 2, 17, 371.9, 3, 1608230447872000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448384000000
SPY, 2, 371.88, 2, 17, 371.9, 1, 1608230448384000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 17, 371.88, 2, 2, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 2, 371.9, 2, 1608230448730000000
SPY, 17, 371.88, 2, 2, 371.9, 2, 1608230448729000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 17, 371.88, 2, 2, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448731000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448732000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448739000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230448739000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448739000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448740000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230448740000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230448766000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230448729000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230448832000000
SPY, 2, 371.88, 2, 17, 371.89, 2, 1608230448940000000
SPY, 2, 371.88, 4, 17, 371.89, 2, 1608230448941000000
SPY, 2, 371.88, 2, 17, 371.89, 2, 1608230448941000000
SPY, 2, 371.88, 4, 17, 371.89, 2, 1608230448948000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230448948000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230449057000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230448948000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230450685000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230450685000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230450685000000
SPY, 2, 371.88, 3, 17, 371.89, 1, 1608230450923000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230449057000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230451189000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230451427000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230451436000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230449057000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230451490000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230449057000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230451490000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230451633000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230451633000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230452523000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230452699000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230451717000000
SPY, 2, 371.88, 5, 17, 371.89, 1, 1608230453301000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230453301000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230453425000000
SPY, 2, 371.88, 3, 17, 371.89, 1, 1608230453751000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230453864000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230451717000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230453944000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230453984000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454031000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230451717000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230454031000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454033000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454402000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230454402000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454708000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230455727000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
